Issue Date          2013-03-16T00:00:00Z
Flags:  0=Forecast, 1=Estimated, 2=Observed 

 Date_Time                   F10          Kp     F10Flag      KpFlag  F10_81dAvg   24HrKpAvg    NHemiPow NHemiPowIdx    SHemiPow SHemiPowIdx       SW_Bt    SW_Angle SW_Velocity       SW_Bz   
2013-03-16T01:49:00Z 123.1520833   3.3422222           2           1 111.4835665   1.6805556  17.8047619           5  17.8047619           5   4.3739348 148.3177461 460.4482000  -3.7221040
2013-03-16T01:50:00Z 123.1541667   3.3444444           2           1 111.4836763   1.6808334  18.2285714           5  18.2285714           5   4.3332697 153.6507276 444.6174000  -3.8830650
2013-03-16T01:51:00Z 123.1562500   3.3466667           2           1 111.4837860   1.6811111  18.6523810           5  18.6523810           5   4.2669507 152.6502443 424.8926000  -3.7899850
2013-03-16T01:52:00Z 123.1583333   3.3488889           2           1 111.4838957   1.6813889  19.0761905           5  19.0761905           5   3.4090014 154.4951012 419.5864000  -3.0767890
2013-03-16T01:53:00Z 123.1604167   3.3511111           2           1 111.4840055   1.6816667  10.6000000           5  10.6000000           5   3.6544896 157.9834429 427.6059000  -3.3879880
2013-03-16T01:54:00Z 123.1625000   3.3533333           2           1 111.4841152   1.6819445  38.0083333           7  38.0083333           7   5.1879242 153.2413868 440.4166000  -4.6323560
2013-03-16T01:55:00Z 123.1645833   3.3555556           2           1 111.4842250   1.6822222  35.5166667           7  35.5166667           7   5.1958884 154.9874227 454.0600000  -4.7085920
2013-03-16T01:56:00Z 123.1666667   3.3577778           2           1 111.4843347   1.6825000  33.0250000           7  33.0250000           7   5.2832617 159.7442550 460.1687000  -4.9565270
2013-03-16T01:57:00Z 123.1687500   3.3600000           2           1 111.4844444   1.6827778  30.5333333           7  30.5333333           7   5.4609689 151.7217084 455.2154000  -4.8092400
2013-03-16T01:58:00Z 123.1708333   3.3622222           2           1 111.4845542   1.6830556  28.0416667           6  28.0416667           6   5.3108746 156.4408990 449.9983000  -4.8682040
2013-03-16T01:59:00Z 123.1729167   3.3644444           2           1 111.4846639   1.6833334  25.5500000           6  25.5500000           6   5.0711478 154.7823139 436.0879000  -4.5878450
2013-03-16T02:00:00Z 123.1750000   3.3666667           2           1 111.4847737   1.6836111  23.0583333           6  23.0583333           6   5.3582722 158.8498006 451.7469000  -4.9973270
2013-03-16T02:01:00Z 123.1770833   3.3688889           2           1 111.4848834   1.6838889  20.5666667           6  20.5666667           6   5.4146399 159.0682903 460.3988000  -5.0573110
2013-03-16T02:02:00Z 123.1791667   3.3711111           2           1 111.4849931   1.6841667  18.0750000           5  18.0750000           5   5.4207879 163.8779076 475.7380000  -5.2076000
2013-03-16T02:03:00Z 123.1812500   3.3733333           2           1 111.4851029   1.6844445  15.5833333           5  15.5833333           5   5.0859572 156.1577501 460.3154000  -4.6519310
2013-03-16T02:04:00Z 123.1833333   3.3755556           2           1 111.4852126   1.6847222  13.0916667           5  13.0916667           5   4.7669413 147.8892703 443.3546000  -4.0377060
2013-03-16T02:05:00Z 123.1854167   3.3777778           2           1 111.4853224   1.6850000  40.5000000           8  40.5000000           8   5.4169086 158.3633879 442.4754000  -5.0352390
2013-03-16T02:06:00Z 123.1875000   3.3800000           2           1 111.4854321   1.6852778  30.1615385           7  30.1615385           7   5.6175731 141.9070912 447.7475000  -4.4210940
2013-03-16T02:07:00Z 123.1895833   3.3822222           2           1 111.4855418   1.6855556  31.0230769           7  31.0230769           7   5.3080714 145.5508652 443.3787000  -4.3771880
2013-03-16T02:08:00Z 123.1916667   3.3844444           2           1 111.4856516   1.6858334  31.8846154           7  31.8846154           7   5.5617287 154.3945932 443.3490000  -5.0155210
2013-03-16T02:09:00Z 123.1937500   3.3866667           2           1 111.4857613   1.6861111  32.7461538           7  32.7461538           7   5.8215079 162.8751620 456.7105000  -5.5634140
2013-03-16T02:10:00Z 123.1958333   3.3888889           2           1 111.4858711   1.6863889  33.6076923           7  33.6076923           7   5.0699752 161.2220250 463.8029000  -4.8001160
2013-03-16T02:11:00Z 123.1979167   3.3911111           2           1 111.4859808   1.6866667  34.4692308           7  34.4692308           7   5.0642939 163.6967314 454.5963000  -4.8606550
2013-03-16T02:12:00Z 123.2000000   3.3933333           2           1 111.4860905   1.6869445  35.3307692           7  35.3307692           7   5.1656316 164.9007274 447.7165000  -4.9872930
2013-03-16T02:13:00Z 123.2020833   3.3955556           2           1 111.4862003   1.6872223  36.1923077           7  36.1923077           7   4.2074743 132.2870244 443.6289000  -2.8309780
2013-03-16T02:14:00Z 123.2041667   3.3977778           2           1 111.4863100   1.6875000  37.0538462           7  37.0538462           7   3.0804229 108.8608588 423.8253000  -0.9958115
2013-03-16T02:15:00Z 123.2062500   3.4000000           2           1 111.4864198   1.6877778  37.9153846           7  37.9153846           7   4.4208505 151.5589669 440.9347000  -3.8872880
2013-03-16T02:16:00Z 123.2083333   3.4022222           2           1 111.4865295   1.6880556  38.7769231           7  38.7769231           7   4.0473415 151.8385176 439.1872000  -3.5682210
2013-03-16T02:17:00Z 123.2104167   3.4044444           2           1 111.4866392   1.6883334  39.6384615           7  39.6384615           7   3.8552700 137.0590001 425.2581000  -2.8222720
2013-03-16T02:18:00Z 123.2125000   3.4066667           2           1 111.4867490   1.6886111  29.3000000           7  29.3000000           7   5.2003505  85.0598186 462.3568000   0.4478315
2013-03-16T02:19:00Z 123.2145833   3.4088889           2           1 111.4868587   1.6888889  20.9800000           6  20.9800000           6   4.9832828  93.3604781 446.6880000  -0.2921090
2013-03-16T02:20:00Z 123.2166667   3.4111111           2           1 111.4869684   1.6891667  23.0600000           6  23.0600000           6   4.8237159  85.1444666 450.9819000   0.4082969
2013-03-16T02:21:00Z 123.2187500   3.4133333           2           1 111.4870782   1.6894445  25.1400000           6  25.1400000           6   4.5841668  75.8673016 436.5216000   1.1193090
2013-03-16T02:22:00Z 123.2208333   3.4155556           2           1 111.4871879   1.6897223  27.2200000           6  27.2200000           6   5.0169721  75.5821623 444.1285000   1.2491830
2013-03-16T02:23:00Z 123.2229167   3.4177778           2           1 111.4872977   1.6900000  18.9000000           6  18.9000000           6   4.7999558 156.4999465 462.1992000  -4.4018460
2013-03-16T02:24:00Z 123.2250000   3.4200000           2           1 111.4874074   1.6902778  20.2000000           6  20.2000000           6   6.0321310 202.0163096 483.9353000  -5.5922510
2013-03-16T02:25:00Z 123.2270833   3.4222222           2           1 111.4875171   1.6905556  27.5733333           6  27.5733333           6   6.1045083 197.7696948 490.3126000  -5.8132680
2013-03-16T02:26:00Z 123.2291667   3.4244444           2           1 111.4876269   1.6908334  27.0466667           6  27.0466667           6   6.1523010 193.7543801 476.6415000  -5.9758770
2013-03-16T02:27:00Z 123.2312500   3.4266667           2           1 111.4877366   1.6911111  26.5200000           6  26.5200000           6   5.9597463 186.7223002 471.3919000  -5.9187740
2013-03-16T02:28:00Z 123.2333333   3.4288889           2           1 111.4878464   1.6913889  25.9933333           6  25.9933333           6   6.0066596 189.0143556 482.2098000  -5.9324720
2013-03-16T02:29:00Z 123.2354167   3.4311111           2           1 111.4879561   1.6916667  25.4666667           6  25.4666667           6   6.1602014 199.5073955 479.7725000  -5.8065960
2013-03-16T02:30:00Z 123.2375000   3.4333333           2           1 111.4880658   1.6919445  24.9400000           6  24.9400000           6   6.1222295 195.9066931 474.0482000  -5.8878050
2013-03-16T02:31:00Z 123.2395833   3.4355556           2           1 111.4881756   1.6922223  24.4133333           6  24.4133333           6   5.7819005 200.4885193 471.6967000  -5.4161510
